Phase,Number,Name,Program,Project Manager,Portfolio Category,Gate 1,Gate 2,Gate 3,30% Design,60% Design,90% Design,NTP Issued/Start Con,Project Substantial Completion,Gate 1 (Performance/Reference),Gate 2 (Performance/Reference),Gate 3 (Performance/Reference),30% Design (Performance/Reference),60% Design (Performance/Reference),90% Design (Performance/Reference),NTP Issued/Start Con (Performance/Reference),Project Substantial Completion (Performance/Reference),Schedule Variance
CLOSEOUT,1133757,RSD 2018 BITUM SURF TREATMENT,RSD CWP ROADWAY PRESERVATION,"Moore, Paul",Roadway,,1/1/2018,1/1/2018,1/1/2018,,,8/13/2018,9/14/2019,,,,,,,,,-2.51%
CLOSEOUT,1133864,RSD NE NVLTY HILL RD TRAIL,RSD CWP QUICK RESPONSE,"Sahagun, Dan",Roadside,,,,1/22/2018,,,,,,,,,,,,,
PLANNING,1134079,RSD KENTKANGLEY LNDSBRG RNDABT,,"Linders, Jon",Traffic Control,1/3/2020,9/21/2023,10/25/2023,10/11/2023,,,,9/12/2022,1/3/2020,,,,,,,9/12/2022,
PLANNING,1134080,RSD WDDUV SNOQ VALLEY IMPROVE,,"Linders, Jon",Roadway,9/14/2022,9/21/2023,10/25/2023,10/11/2023,,,,9/20/2022,9/14/2022,9/21/2023,10/25/2023,10/11/2023,,,,9/20/2022,
DESIGN,1134081,RSD REDMOND RIDGE DR NE RNDABT,,"Karinen, Martin",Traffic Control,2/13/2019,,11/6/2019,6/19/2019,8/29/2019,11/6/2019,7/6/2022,10/1/2022,2/13/2019,,11/6/2019,6/19/2019,8/29/2019,11/6/2019,5/6/2022,8/1/2022,156.15%
IMPLEMENT,1134082,RSD FACILITIES LED CONVERSION,,"Kosai-Eng, Joann",Maintenance Facilities,,,3/15/2019,,,,,,,,3/15/2019,,,,,,
PREDESIGN,1134083,RSD COVINGTON WAY SE IMPROVE,,"Linders, Jon",Roadway,8/17/2020,6/21/2021,,,,,,,8/17/2020,6/21/2021,,,,,,,
IMPLEMENT,1134093,RSD CWP TRAFFIC SAFETY,RSD CWP TRAFFIC SAFETY,"Brown, Keith",Traffic Control,,,,,,,,,,,,,,,,,
LAND,1135042,RSD VASHON MAINT FACILITY REPL,,"Kosai-Eng, Joann",Maintenance Facilities,,,,,,,,,,,,,,,,,
LAND,1135043,RSD NE MAINT FACILITY REPL,,"Kosai-Eng, Joann",Maintenance Facilities,,,,,,,,,,,,,,,,,
PLANNING,1135044,RSD PRSTN MAINT FACILTY BLDOUT,,"Kosai-Eng, Joann",Maintenance Facilities,,,,,,,,,,,,,,,,,
IMPLEMENT,1135045,RSD CWP CLVRT RPLCMT FISH PASS,RSD CWP CLVRT RPLCMT FISH PASS,"Cassidy, Jon",Drainage,,,,,,,,,,,,,,,,,
DESIGN,1135046,RSD MAINT HDQTRS BLDG D REHAB,,"Ho, Alex",Maintenance Facilities,11/3/2016,1/10/2017,6/12/2017,3/3/2017,7/17/2017,10/27/2017,1/5/2020,12/31/2021,11/3/2016,1/10/2017,6/12/2017,3/3/2017,7/17/2017,10/27/2017,1/5/2020,12/31/2021,-3.09%
IMPLEMENT,1135073,RSD CWP 2019-20 BRIDGE SAFETY,RSD CWP 2019-20 BRIDGE SAFETY,"Truong, Trinh",Bridges & Structures,,,,,,,,12/31/2026,,,,,,,,,
IMPLEMENT,1135997,RSD COAL CREEK BRG 3035A REPL,,"Martin, TingTing",Bridges & Structures,10/12/2018,6/10/2019,11/18/2020,7/15/2019,3/25/2020,9/14/2020,9/24/2021,12/30/2022,10/12/2018,6/10/2019,11/18/2020,7/15/2019,3/25/2020,9/14/2020,7/19/2021,3/31/2022,6.64%
DESIGN,1135998,RSD AMES LK TRS BRG 1320A REPL,,"Truong, Trinh",Bridges & Structures,6/21/2019,6/23/2020,3/3/2021,10/15/2020,6/8/2021,3/8/2022,6/6/2023,7/30/2024,6/21/2019,6/23/2020,3/3/2021,10/15/2020,6/16/2021,2/3/2022,6/6/2023,7/30/2024,0.00%
DESIGN,1135999,RSD UPR TOKUL CK BRG 271B REPL,,"Martin, TingTing",Bridges & Structures,1/9/2019,5/8/2020,4/1/2021,5/28/2020,1/14/2021,8/19/2021,4/25/2022,1/31/2023,1/9/2019,5/8/2020,4/1/2021,5/28/2020,1/14/2021,8/20/2021,4/25/2022,1/31/2023,0.00%
DESIGN,1136000,RSD BARING BRG 509A REPL,,"Truong, Trinh",Bridges & Structures,7/18/2018,3/6/2019,1/3/2022,7/16/2019,12/1/2020,6/6/2022,4/26/2024,11/24/2025,7/18/2018,3/6/2019,4/30/2021,7/16/2019,12/25/2020,6/6/2022,4/26/2024,11/24/2025,
