Phase,Number,Name,Program,Master,Active,Project Manager,Portfolio Category,Gate 1,Gate 2,Gate 3,30% Design,60% Design,90% Design,NTP Issued/Start Con,Gate 1 (Performance/Reference),Gate 2 (Performance/Reference),Gate 3 (Performance/Reference),30% Design (Performance/Reference),60% Design (Performance/Reference),90% Design (Performance/Reference),NTP Issued/Start Con (Performance/Reference),Capital/Operating
IMPLEMENT,1131557,RSD 17-18 SCHOOL ZONE SAFETY,RSD CWP SCHOOL ZONE SAFETY,No,Yes,"Brown, Keith",Traffic Control,,,,,,,,,,,,,,,Capital Project
IMPLEMENT,1131582,RSD NE WD/DVL CULVERT REPL,RSD QUICK RESPONSE,No,Yes,"Shular, Ryan",Contingencies,,,9/27/2017,,,,,,,,,,,,Capital Project
DESIGN,1131671,RSD SE PTRVSKY @ 151ST  A SE,RSD CWP DRAINAGE PRESERVATION,No,Yes,"Mitchell, Mark C.",Drainage,9/17/2018,5/21/2018,6/19/2019,5/21/2018,8/16/2019,4/30/2020,2/1/2024,9/17/2018,5/21/2018,6/19/2019,5/21/2018,8/16/2019,7/15/2021,2/1/2024,Capital Project
DESIGN,1131672,RSD SE PTRVSKY @20300BLK,RSD CWP DRAINAGE PRESERVATION,No,Yes,"Mitchell, Mark C.",Drainage,9/17/2018,5/21/2018,5/15/2020,5/21/2018,8/16/2019,4/30/2020,2/1/2024,9/17/2018,5/21/2018,5/15/2020,5/21/2018,8/16/2019,9/1/2021,2/1/2024,Capital Project
CLOSEOUT,1131693,RSD UNION HILL@225 BOXCULVRT,RSD CWP DRAINAGE PRESERVATION,No,Yes,"Truong, Trinh",Drainage,,,7/26/2017,,,,,,,7/26/2017,,,,,Capital Project
PLANNING,1132446,RSD S LANGSTN RD@132ST DRG IMP,RSD CWP DRAINAGE PRESERVATION,No,Yes,"Shular, Ryan",Drainage,9/15/2020,10/1/2020,10/9/2020,10/8/2020,,,,9/15/2020,10/1/2020,10/9/2020,10/8/2020,,,,Capital Project
PREDESIGN,1132448,RSD SW 108ST@10 AVE SW DRG IMP,RSD CWP DRAINAGE PRESERVATION,No,Yes,"Shular, Ryan",Drainage,,,,,,,,,,,,,,,Capital Project
DESIGN,1132450,RSD 177 AVE SE DRG IMP,RSD CWP DRAINAGE PRESERVATION,No,Yes,"Shular, Ryan",Drainage,,,,,,,,,,,,,,,Capital Project
PREDESIGN,1132523,RSD GREEN RVR RD S28728 DR IMP,RSD CWP DRAINAGE PRESERVATION,No,Yes,"Shular, Ryan",Drainage,5/24/2019,6/14/2019,,8/21/2017,,,,,,,,,,,Capital Project
DESIGN,1132710,RSD DRAIN IMP SAHALEE-4800,RSD CWP DRAINAGE PRESERVATION,No,Yes,"Dulan, Lica",Drainage,11/8/2018,4/16/2018,5/1/2018,4/27/2018,7/2/2018,12/21/2018,6/1/2022,11/8/2018,4/16/2018,5/1/2018,4/27/2018,7/2/2018,12/21/2018,6/1/2022,Capital Project
